//MainMenu
MainMenu_Buff|卡牌
MainMenu_Cardpedia|卡牌图鉴


//BuffGameMenu
BuffGameMenu_NewGame|新游戏
BuffGameMenu_LoadGame|{0} - 轮回: {1} - 卡牌数量: {2}
BuffGameMenu_LoadGameUK|未知数据 - 卡牌数量: {0}

//BuffMissionPage
BuffMissionPage_General|通用使命
BuffMissionPage_Exclusive|专属使命
BuffMissionPage_No_Exclusive|该角色无<LINE>专属使命
BuffMissionPage_Start|开始使命
BuffMissionPage_Goal|使命目标
BuffMissionPage_Buffs|携带卡牌

//CardSheetPage:
CardSheetPage_Life_Countable|循环
CardSheetPage_Life_Uncountable|永久
CardSheetPage_Stack_Stackable|可叠加
CardSheetPage_Stack_Unstackable|不可叠加
CardSheetPage_Stack_Triggerable|手动
CardSheetPage_Stack_Untriggerable|自动


//CardInfoDisplay:
CardInfoDisplay_Missing|???
CardInfoDisplay_MissingDescription|选择一个buff来查看介绍
CardInfoDisplay_MissingConflict|选择一个buff来查看冲突

CardInfoDisplay_TypeTitle|类型:
CardInfoDisplay_TriggerTitle|触发:
CardInfoDisplay_StackTitle|堆叠:
CardInfoDisplay_DescriptionTitle|介绍:
CardInfoDisplay_ConflictTitle|冲突:


//Notification:
Notificaion_ConfirmButton|确认
Notification_RewardTitle|已获得奖励:
Notification_MissionReward|解锁使命
Notification_MissionReward_Unique|解锁专属使命

//BuffMenu:
Survival|生存模式
Normal|普通模式
Quick|快速模式
ProgressionMenu_Show|进度


//BuffConditionHUD
BuffConditionHUD_WinInfo|雨眠以进行结算
BuffConditionHUD_WinTitle|胜利

//BuffModeSelect
Mode_Free|自由模式
Mode_Mission|使命模式
Mode_Desc_Free|你可以在开始新一局游戏之前自由决定游戏难度、模式和目标，<LINE>但只能通过抽卡来获得卡牌。
Mode_Desc_Mission|选择一个使命以开始一局新游戏。<LINE>你的游戏目标和初始携带卡牌由选择的任务决定，<LINE>且无法自行决定游戏难度和模式。

//BuffCardSlot
InGameSlot_SlotTitle|Buff卡槽
InGameSlot_CardDetail|Buff详情
CardPickSlot_SlotTitle|抽取<Cards>张卡


//CardpediaCardSheet
Everlasting|永久
Cycles|循环
Stackable|可叠加
Unstackable|不可叠加
CardpediaCardSheet_Manually|主动点击触发
CardpediaCardSheet_Automatically|主自动触发
CardpediaCardSheet_Info|（点击下方卡牌以查看详细信息）
CardpediaCardSheet_None|（无）

//Records
totCard|获取的所有Buff数量：
totPositiveCard|获取的正面Buff数量：
totNegativeCard|获取的负面Buff数量：
totDualityCard|获取的双向Buff数量：
totTriggerCount|Buff触发的次数:


//BasicInGameBuffCardSlot
BasicInGameBuffCardSlot_OnMouseFocus|单击左键以查看 <BuffID> 的详情
BasicInGameBuffCardSlot_OnCardExclusiveShow|单击左键以翻转卡牌<LINE>单击右键以退出详情浏览
BasicInGameBuffCardSlot_NoCardFocus|将鼠标移至一个卡牌上并单击鼠标左键来查看卡牌
BasicInGameBuffCardSlot_ExitHUD|<LINE>按下 <HUD_KEY> 来关闭 hud
BasicInGameBuffCardSlot_BindKey|<LINE>按下 <KEYBINDER_KEY> 并按另一个按键来给 <BuffID> 绑定快捷键


//BuffCondition
DisplayName_Achievement|获取{0}通行证
DisplayName_Cycle|生存至少{0}个雨循环
DisplayName_Card|获取{0}张{1}的buff卡
DisplayName_Like|与{0}达到最高好感
DisplayName_MeetSS_SL|在{0}循环内见到五块卵石和仰望皎月
DisplayName_Gourmand|完成胖猫食谱
DisplayName_Interval_OutRange|在{0}-{1}轮回内完成任务，当前隐藏
DisplayName_FixCycle|在{0}轮回完成使命
DisplayName_MeltDownHunt|消灭 {0} 只{1}
DisplayName_Death|死亡数小于{0}下完成使命
DisplayName_CycleScore|本次雨循环消灭生物获得{0}点分数
DisplayName_SaveMoon|在{0}轮回内帮助仰望皓月
DisplayName_Battery|将五块卵石的核心安装给仰望皓月
DisplayName_MeltDownBinah|击败 Binah
DisplayName_Extermination|使用{1}消灭 {0} 只生物
DisplayName_Score|消灭生物获得{0}点分数

//BuffCondition_BuffTypes
all types|所有类型
Negative|负面
Positive|正面
Duality|双向

//BuffCondition_Builtin
InRangeDisplayName_WormGrassWipeOutCondition|清除房间内的所有舌草

//BuffCondition_CommunityID
Lizards|蜥蜴
Scavengers|拾荒者
Cicadas|蝉乌贼

//BuffCondition_WeaponID
Spear|任意矛
ScavengerBomb|炸弹
Rock|石头

//ProgressionUI
ProgressionUI_Record|记录
ProgressionUI_Quest|收集
ProgressionUI_Cosmetic|装饰品

//QuestCondition
Quest_Display_MissionQuest|完成 {0} 使命
Quest_Display_LevelQuest|达到 {0} 等级

//mission
Mission_Display_Meltdown|核心抑制
Mission_Display_DodgeTheRock|石头快跑
Mission_Display_Druid|与龙共舞
Mission_Display_Strayer|异邦浪客
Mission_Display_EmergnshyTreatment|紧稽救援
Mission_Display_MidnightSnack|午夜凶粮
Mission_Display_ArtOfExplosion|爆破艺术
Mission_Display_DuelsOfSnipers|狙击对决
Mission_Display_DoomExpress|末日速递
Mission_Display_RadiationCrisis|辐射危机
Mission_Display_LawnCleaner|草坪清洁工
